time,open,high,low,close
1673028000,1263.77,1269.79,1263.77,1267.34
1673029800,1267.84,1268.85,1266.04,1266.67
1673031600,1266.8,1268.48,1264.54,1267.14
1673033400,1267.2,1275.18,1266.92,1272.92
1673035200,1273.61,1276.09,1267.83,1268.38
1673037000,1268.68,1269.53,1265.13,1265.74
1673038800,1265.89,1267.02,1265.2,1266.69
1673040600,1266.2,1267.86,1265.62,1266.03
1673042400,1266.53,1267.53,1266.06,1267.53
1673044200,1267.21,1269.77,1266.35,1269.69
1673046000,1269.53,1272.25,1267.85,1269.76
1673047800,1269.68,1270.97,1268.5,1269.45
1673049600,1269.37,1269.37,1266.65,1267.69
1673051400,1267.9,1270.76,1267.78,1270.57
1673053200,1270.6,1271.1,1268.66,1269.15
1673055000,1269.37,1270.71,1268.56,1269.04
1673056800,1269.01,1269.34,1266.38,1266.77
1673058600,1266.63,1267.08,1266.05,1266.65
1673060400,1266.38,1267.03,1265.64,1267.03
1673062200,1267.16,1267.16,1265.6,1266.57
1673064000,1266.47,1266.61,1264.8,1265.15
1673065800,1265.45,1265.45,1264.23,1264.7
1673067600,1264.89,1264.9,1263.47,1264.39
1673069400,1264.6,1264.86,1263.94,1264.5
1673071200,1264.36,1264.68,1262.26,1263.9
1673073000,1264.33,1264.94,1264.17,1264.62
1673074800,1264.6,1266,1264.6,1265.82
1673076600,1266.02,1267.02,1265.99,1266.89
1673078400,1266.92,1267.32,1264.12,1264.37
1673080200,1264.23,1266.66,1264.23,1264.93
1673082000,1264.62,1265.01,1263.76,1264.52
1673083800,1264.5,1266.3,1264.19,1265.89
1673085600,1265.42,1265.57,1265.12,1265.45
1673087400,1264.57,1264.74,1264.3,1264.3
1673089200,1263.75,1264.13,1263.11,1264.13
1673091000,1263.9,1264.47,1263.9,1263.9
1673092800,1263.91,1264.01,1262.13,1263.05
1673094600,1263.09,1263.61,1262.04,1263.61
1673096400,1263.76,1265.17,1263.76,1265.17
1673098200,1265.48,1265.66,1262.7,1263.25
1673100000,1262.83,1263.97,1261.88,1263.97
1673101800,1264.35,1265.53,1263.73,1265.53
1673103600,1265.4,1265.61,1264.79,1264.83
1673105400,1264.49,1265.23,1264.28,1265.12
1673107200,1264.99,1264.99,1262.9,1262.9
1673109000,1262.77,1262.81,1262,1262.77
1673110800,1262.77,1262.97,1262.1,1262.61
1673112600,1262.6,1263.64,1262.56,1262.8
1673114400,1262.74,1264.16,1262.74,1263.99
1673116200,1264.01,1264.63,1263.76,1263.92
1673118000,1264.1,1265.34,1263.81,1264.87
1673119800,1264.71,1266.04,1264.7,1265.41
1673121600,1265.64,1265.85,1263.82,1264.04
1673123400,1264.33,1264.42,1263.1,1264.14
1673125200,1264.45,1264.48,1263.1,1263.1
1673127000,1263.35,1266.86,1262.69,1264.54
1673128800,1264.46,1264.94,1262.75,1262.76
1673130600,1262.79,1263.11,1262.04,1263.11
1673132400,1261.78,1263.96,1261.75,1263.13
1673134200,1263.31,1264.18,1262.71,1264.08
1673136000,1264.21,1264.89,1263.6,1263.63
1673137800,1263.29,1263.77,1258.17,1261.16
1673139600,1260.79,1262,1259.73,1261.34
1673141400,1261.33,1262.43,1259.36,1262.09
1673143200,1262.3,1262.84,1260.51,1260.62
1673145000,1260.63,1261.51,1259.31,1261.4
1673146800,1261.85,1261.85,1260.69,1261.49
1673148600,1261.4,1262.81,1260.62,1262.81
1673150400,1263.02,1263.09,1262.48,1262.53
1673152200,1262.8,1263.34,1262.15,1262.17
1673154000,1262.53,1262.89,1262.29,1262.69
1673155800,1262.56,1263.56,1262.33,1263.54
1673157600,1263.5,1263.84,1262.46,1262.89
1673159400,1262.69,1264.22,1262.69,1264.22
1673161200,1264.39,1264.57,1263.29,1263.64
1673163000,1264,1264.03,1262.5,1263.6
1673164800,1263.6,1263.88,1262.4,1262.61
1673166600,1262.64,1263.51,1262.19,1263.17
1673168400,1263.26,1265.29,1263.17,1265.16
1673170200,1265.44,1266.09,1262.42,1263.08
1673172000,1263.35,1264.34,1262.58,1262.89
1673173800,1263.14,1263.42,1261.68,1263.01
1673175600,1263.42,1263.49,1262.44,1262.82
1673177400,1262.51,1263.01,1261.63,1261.63
1673179200,1261.65,1262.06,1261.45,1262.06
1673181000,1262.31,1262.37,1261.99,1262.05
1673182800,1262.12,1263.44,1262.12,1263.44
1673184600,1263.47,1263.82,1263.08,1263.47
1673186400,1263.61,1264.55,1263.34,1263.88
1673188200,1264.43,1266.33,1264.16,1265.84
1673190000,1266.43,1268.69,1264.63,1267.02
1673191800,1266.63,1275.61,1266.14,1274.41
1673193600,1274.6,1279.86,1264.13,1265
1673195400,1265.37,1267.16,1261.79,1264.25
1673197200,1263.88,1267.92,1263.24,1266.18
1673199000,1266.41,1266.41,1263.42,1264.63
1673200800,1264.34,1265.76,1263.49,1265.39
1673202600,1265.6,1265.72,1264.34,1265.35
1673204400,1265.33,1266.75,1264.83,1266.1
1673206200,1265.99,1265.99,1265.04,1265.13
1673208000,1264.71,1270.67,1264.12,1269.13
1673209800,1269.32,1271.87,1268.52,1270.63
1673211600,1270.56,1271.72,1269.39,1271.19
1673213400,1271.8,1273.45,1269.45,1269.93
1673215200,1270.07,1271.68,1269,1270.47
1673217000,1270.47,1271.4,1268.48,1270.07
1673218800,1269.72,1290.36,1269.72,1285.09
1673220600,1285.16,1294.88,1282.08,1289.3
1673222400,1290.26,1292.5,1284.55,1285.73
1673224200,1285.36,1295.1,1285.36,1294.34
1673226000,1294.28,1295.14,1288.6,1292.13
1673227800,1292.27,1300.78,1291.15,1294.44
1673229600,1294.42,1303.67,1290.4,1303.5
1673231400,1303.77,1312.23,1303.13,1305.78
1673233200,1306.63,1307.68,1303.83,1305.95
1673235000,1306.23,1312.88,1306.23,1310.26
1673236800,1310.28,1314.23,1308.29,1312.39
1673238600,1311.91,1314.68,1310.65,1311.18
1673240400,1311.2,1313.34,1310.54,1311.72
1673242200,1311.79,1312.23,1307.64,1307.88
1673244000,1308.6,1309.96,1307.44,1309.95
1673245800,1310.1,1311.16,1307.94,1308.78
1673247600,1308.86,1312.16,1308.52,1310.82
1673249400,1311.15,1313.25,1310.57,1311.93
